YR-MON,Silver,Silver-1,Silver-2,Silver-3,Silver-4,Silver-5,Silver-6,Copper,Copper-1,Copper-2,Copper-3,Copper-4,Copper-5,Copper-6,Steel,Steel-1,Steel-2,Steel-3,Steel-4,Steel-5,Steel-6,PriceIncrDate
2009-Sep,0.142,0.074,-0.088,0.045,0.121,-0.046,-0.022,0.005,0.176,0.047,0.088,0.032,0.182,0.141,0.036,0.049,0.041,0.011,0.002,-0.061,-0.03,0
2009-Oct,0.052,0.142,0.074,-0.088,0.045,0.121,-0.046,0.018,0.005,0.176,0.047,0.088,0.032,0.182,0.012,0.036,0.049,0.041,0.011,0.002,-0.061,0
2009-Nov,0.034,0.052,0.142,0.074,-0.088,0.045,0.121,0.055,0.018,0.005,0.176,0.047,0.088,0.032,-0.024,0.012,0.036,0.049,0.041,0.011,0.002,0
2009-Dec,-0.008,0.034,0.052,0.142,0.074,-0.088,0.045,0.05,0.055,0.018,0.005,0.176,0.047,0.088,0.023,-0.024,0.012,0.036,0.049,0.041,0.011,0
2010-Jan,0.006,-0.008,0.034,0.052,0.142,0.074,-0.088,0.048,0.05,0.055,0.018,0.005,0.176,0.047,0.051,0.023,-0.024,0.012,0.036,0.049,0.041,0
2010-Feb,-0.108,0.006,-0.008,0.034,0.052,0.142,0.074,-0.068,0.048,0.05,0.055,0.018,0.005,0.176,0.025,0.051,0.023,-0.024,0.012,0.036,0.049,0
2010-Mar,0.078,-0.108,0.006,-0.008,0.034,0.052,0.142,0.092,-0.068,0.048,0.05,0.055,0.018,0.005,0.046,0.025,0.051,0.023,-0.024,0.012,0.036,0
2010-Apr,0.058,0.078,-0.108,0.006,-0.008,0.034,0.052,0.035,0.092,-0.068,0.048,0.05,0.055,0.018,0.052,0.046,0.025,0.051,0.023,-0.024,0.012,0
2010-May,0.018,0.058,0.078,-0.108,0.006,-0.008,0.034,-0.116,0.035,0.092,-0.068,0.048,0.05,0.055,0.015,0.052,0.046,0.025,0.051,0.023,-0.024,0
2010-Jun,0.002,0.018,0.058,0.078,-0.108,0.006,-0.008,-0.056,-0.116,0.035,0.092,-0.068,0.048,0.05,-0.008,0.015,0.052,0.046,0.025,0.051,0.023,0
2010-Jul,-0.027,0.002,0.018,0.058,0.078,-0.108,0.006,0.044,-0.056,-0.116,0.035,0.092,-0.068,0.048,-0.037,-0.008,0.015,0.052,0.046,0.025,0.051,0
2010-Aug,0.022,-0.027,0.002,0.018,0.058,0.078,-0.108,0.082,0.044,-0.056,-0.116,0.035,0.092,-0.068,-0.013,-0.037,-0.008,0.015,0.052,0.046,0.025,0
2010-Sep,0.119,0.022,-0.027,0.002,0.018,0.058,0.078,0.06,0.082,0.044,-0.056,-0.116,0.035,0.092,0.01,-0.013,-0.037,-0.008,0.015,0.052,0.046,0
2010-Oct,0.138,0.119,0.022,-0.027,0.002,0.018,0.058,0.073,0.06,0.082,0.044,-0.056,-0.116,0.035,-0.006,0.01,-0.013,-0.037,-0.008,0.015,0.052,0
2010-Nov,0.135,0.138,0.119,0.022,-0.027,0.002,0.018,0.018,0.073,0.06,0.082,0.044,-0.056,-0.116,0,-0.006,0.01,-0.013,-0.037,-0.008,0.015,0
