YR-MON,Silver,Silver-1,Silver-2,Silver-3,Silver-4,Silver-5,Silver-6,Copper,Copper-1,Copper-2,Copper-3,Copper-4,Copper-5,Copper-6,Steel,Steel-1,Steel-2,Steel-3,Steel-4,Steel-5,Steel-6,KeyDate
2009-Sep,16.39,14.348,13.362,14.654,14.029,12.515,13.117,2.8309,2.8157,2.3946,2.2878,2.1034,2.0386,1.7245,193.7,187,178.2,171.1,169.2,168.9,179.8,0 
2009-Oct,17.236,16.39,14.348,13.362,14.654,14.029,12.515,2.8812,2.8309,2.8157,2.3946,2.2878,2.1034,2.0386,196.1,193.7,187,178.2,171.1,169.2,168.9,0 
2009-Nov,17.821,17.236,16.39,14.348,13.362,14.654,14.029,3.0406,2.8812,2.8309,2.8157,2.3946,2.2878,2.1034,191.3,196.1,193.7,187,178.2,171.1,169.2,0 
2009-Dec,17.673,17.821,17.236,16.39,14.348,13.362,14.654,3.1934,3.0406,2.8812,2.8309,2.8157,2.3946,2.2878,195.7,191.3,196.1,193.7,187,178.2,171.1,0 
2010-Jan,17.787,17.673,17.821,17.236,16.39,14.348,13.362,3.3456,3.1934,3.0406,2.8812,2.8309,2.8157,2.3946,205.6,195.7,191.3,196.1,193.7,187,178.2,0 
2010-Feb,15.873,17.787,17.673,17.821,17.236,16.39,14.348,3.1183,3.3456,3.1934,3.0406,2.8812,2.8309,2.8157,210.8,205.6,195.7,191.3,196.1,193.7,187,0 
2010-Mar,17.106,15.873,17.787,17.673,17.821,17.236,16.39,3.4062,3.1183,3.3456,3.1934,3.0406,2.8812,2.8309,220.6,210.8,205.6,195.7,191.3,196.1,193.7,0 
2010-Apr,18.1,17.106,15.873,17.787,17.673,17.821,17.236,3.5241,3.4062,3.1183,3.3456,3.1934,3.0406,2.8812,232,220.6,210.8,205.6,195.7,191.3,196.1,0 
2010-May,18.418,18.1,17.106,15.873,17.787,17.673,17.821,3.1167,3.5241,3.4062,3.1183,3.3456,3.1934,3.0406,235.5,232,220.6,210.8,205.6,195.7,191.3,0 
2010-Jun,18.455,18.418,18.1,17.106,15.873,17.787,17.673,2.9426,3.1167,3.5241,3.4062,3.1183,3.3456,3.1934,233.5,235.5,232,220.6,210.8,205.6,195.7,1
2010-Jul,17.96,18.455,18.418,18.1,17.106,15.873,17.787,3.0706,2.9426,3.1167,3.5241,3.4062,3.1183,3.3456,224.8,233.5,235.5,232,220.6,210.8,205.6,0 
2010-Aug,18.357,17.96,18.455,18.418,18.1,17.106,15.873,3.3226,3.0706,2.9426,3.1167,3.5241,3.4062,3.1183,221.9,224.8,233.5,235.5,232,220.6,210.8,0 
